,N°,L,H,rect,≠
761,52.013,110,140,,4
762,52.014,110,140,,4
763,52.015,160,190,,4
764,52.016,160,190,,4
765,52.017,140,155,,4
766,52.018,140,155,,4
767,52.019,150,250,,4
768,52.020,150,250,,4
769,52.021,120,210,,4
770,52.022,120,210,,4
771,52.023,85,180,,4
772,52.024,85,180,,4
773,52.025,125,165,,4
774,52.026,125,165,,4
775,52.029,140,215,,
776,52.030,75,170,,
777,52.034,105,235,,4
778,52.043.01,48,120,,4
779,52.044,60,190,,4
780,52.047,75,135,,4
781,52.049,120,210,,4
782,52.050,120,211,,4
783,52.130,phi150,45,,4
784,52.131,phi90,,,4
785,52.132,,phi90,,3
786,52.133,,phi90,,"4,5"
787,52.134,,phi115,,5
788,52.139,,phi50,,3
789,52.201,75,125,,4
790,52.202,110,155,,2
791,52.203,80,122,,4
792,52.211,100,145,,
793,52.212,140,200,,
794,52.216,28,180,phi5,
795,52.217,43,160,phi5,
796,52.300,,phi85,,8
797,52.301,,phi55,,8
798,52.305,,phi93,,8
799,52.406,100,195,,8
800,52.420,135,210,,10
801,53.000,45,phi80,,"0,5"
802,53.008,35,85,,"0,5"
803,53.009,,70,,"0,5"
804,55.001,190,380,,14x14
805,55.003,175,400,,14x14
806,55.005,200,455,,14x14
807,55.006,138,165,,14x14
808,55.007,130,280,,14x14
809,55.008,225,315,,14x14
810,55.009,180,260,,14x14
811,55.030,500,108,,
812,55.031,870,150,,
813,55.050,165,phi120,,
814,55.200,,250,,
815,55.100,110,210,phi100,
816,55.101,40,87,40,
817,55.102,50,110,50,
818,55.103,60,135,60,
819,55.104,80,160,80,
820,55.105,100,180,100,
821,56.010.12,1000,2000,"1,2",
822,56.010.12.01,1000,2000,"1,2",
823,56.020.12,1000,2000,"1,2",
824,56.020.12.01,1000,2000,"1,2",
825,56.030.12,1000,2000,"1,2",
826,56.040.12,1000,2000,"1,2",
827,56.040.12.01,1000,2000,"1,2",
828,56.050.12,1000,2000,"1,2",
829,56.050.12.01,1000,2000,"1,2",
830,56.060.12,1000,2000,"1,2",
831,56.060.12.01,1000,2000,"1,2",
832,56.070.12,1000,2000,"1,2",
833,56.070.12.01,1000,2000,"1,2",
834,56.080.12,1000,2000,"1,2",
835,56.080.12.01,1000,2000,"1,2",
836,56.090.12,1000,2000,"1,2",
837,56.090.12.01,1000,2000,"1,2",
838,64.020,phi19,36,phi6,
839,64.021,phi25,25,phi6,
840,64.022,phi18,36,phi6,
841,64.023,phi21,32,phi10,
842,64.024,19,30,phi10,
